中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
43.153.80.208,443,43.153.80.208,US,San Jose,中转,79 ms,393 Mbps,50380 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,33 ms,692 Mbps,88678 kB/s
47.253.161.22,443,47.253.161.22,US,Ashburn,中转,2 ms,6 Mbps,895 kB/s
141.148.227.19,443,141.148.227.19,NL,Amsterdam,中转,82 ms,222 Mbps,28467 kB/s
193.122.58.158,443,193.122.58.158,DE,Frankfurt,中转,93 ms,41 Mbps,5311 kB/s
140.238.158.238,443,140.238.158.238,CA,Toronto,中转,32 ms,66 Mbps,8566 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,97 ms,204 Mbps,26112 kB/s
138.2.227.164,443,138.2.227.164,US,San Jose,中转,81 ms,299 Mbps,38297 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,116 ms,256 Mbps,32768 kB/s
193.123.60.41,443,2a0b:21c0:1007:1c9:0:a165:eec7:f308,DE,Frankfurt,隧道,91 ms,272 Mbps,34816 kB/s
129.159.222.164,443,2a0b:21c0:100a:1fa:0:da44:1eeb:3969,DE,Frankfurt,隧道,104 ms,268 Mbps,34406 kB/s
3.144.191.4,443,3.144.191.4,US,Chicago,中转,17 ms,756 Mbps,96870 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,27 ms,513 Mbps,65740 kB/s
47.253.129.190,443,47.253.129.190,US,Ashburn,中转,17 ms,22 Mbps,2831 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,102 ms,305 Mbps,39116 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,98 ms,33 Mbps,4302 kB/s
141.144.199.182,443,2a0b:21c0:1007:1ca:0:a048:74a4:3c14,DE,Frankfurt,隧道,114 ms,263 Mbps,33689 kB/s
158.101.209.76,443,158.101.209.76,NL,Amsterdam,中转,100 ms,248 Mbps,31744 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,91 ms,435 Mbps,55705 kB/s
35.197.23.75,443,35.212.231.200,US,Seattle,隧道,86 ms,395 Mbps,50585 kB/s
140.84.179.114,443,140.84.179.114,MX,Dallas,中转,60 ms,416 Mbps,53350 kB/s
35.230.79.26,443,35.212.231.200,US,Seattle,隧道,81 ms,381 Mbps,48844 kB/s
129.146.7.98,443,2a09:bac1:76c0:e18::c:336,US,Los Angeles,隧道,80 ms,71 Mbps,9102 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,90 ms,398 Mbps,50995 kB/s
192.9.138.241,443,192.9.138.241,US,San Jose,中转,90 ms,265 Mbps,33996 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,87 ms,274 Mbps,35123 kB/s
34.82.76.253,443,104.198.8.26,US,Seattle,隧道,67 ms,340 Mbps,43520 kB/s
130.162.215.254,443,2a0b:21c0:100a:1b3:0:feaf:f7dc:1dee,DE,Frankfurt,隧道,109 ms,220 Mbps,28160 kB/s
130.61.23.77,443,130.61.23.77,DE,Frankfurt,中转,92 ms,95 Mbps,12185 kB/s
141.147.105.212,443,98.98.156.22,DE,Frankfurt,隧道,99 ms,105 Mbps,13516 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,102 ms,258 Mbps,33075 kB/s
155.248.196.123,443,155.248.196.123,US,Vancouver,中转,101 ms,40 Mbps,5195 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,87 ms,254 Mbps,32563 kB/s
141.148.229.106,443,141.148.229.106,NL,Amsterdam,中转,88 ms,52 Mbps,6715 kB/s
152.70.52.215,443,152.70.52.215,NL,Amsterdam,中转,97 ms,261 Mbps,33484 kB/s
141.148.187.195,443,141.148.187.195,US,Los Angeles,中转,73 ms,17 Mbps,2255 kB/s
130.61.201.195,443,130.61.201.195,DE,Frankfurt,中转,102 ms,46 Mbps,5918 kB/s
168.138.90.241,443,168.138.90.241,CA,Montréal,中转,28 ms,68 Mbps,8827 kB/s
138.3.254.39,443,138.3.254.39,DE,Frankfurt,中转,104 ms,221 Mbps,28364 kB/s
47.88.15.127,443,47.88.15.127,US,San Jose,中转,92 ms,121 Mbps,15564 kB/s
47.89.244.253,443,47.89.244.253,US,San Jose,中转,71 ms,7 Mbps,923 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,102 ms,213 Mbps,27340 kB/s
141.144.197.111,443,141.144.197.111,NL,Amsterdam,中转,87 ms,242 Mbps,31027 kB/s
141.147.9.169,443,2a0b:21c0:1007:ca:0:c883:c7d5:719f,DE,Frankfurt,隧道,122 ms,219 Mbps,28057 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,174 ms,110 Mbps,14131 kB/s
129.154.221.61,443,2607:a400:a:6b:0:1569:3ae9:d1e1,US,Los Angeles,隧道,229 ms,73 Mbps,9455 kB/s
140.238.212.95,443,140.238.212.95,CH,Zurich,中转,104 ms,45 Mbps,5867 kB/s
64.110.86.3,443,107.151.176.166,US,Los Angeles,隧道,202 ms,74 Mbps,9583 kB/s
132.226.169.196,443,2607:a400:a:6b:0:1572:e07f:b314,US,Los Angeles,隧道,208 ms,66 Mbps,8475 kB/s
152.70.90.168,443,2603:c022:8004:1505::5,KR,Seoul,隧道,206 ms,36 Mbps,4718 kB/s
146.56.163.161,443,2607:a400:a:16b:0:dfd9:224:8e5a,US,Los Angeles,隧道,198 ms,72 Mbps,9329 kB/s
8.210.58.6,443,8.210.58.6,HK,Hong Kong,中转,240 ms,0 Mbps,45 kB/s
158.180.82.186,443,158.180.82.186,KR,Seoul,中转,202 ms,85 Mbps,10956 kB/s
129.154.50.220,443,129.154.50.220,KR,Seoul,中转,199 ms,84 Mbps,10854 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,231 ms,128 Mbps,16486 kB/s
129.151.254.48,443,129.151.254.48,FR,Marseille,中转,150 ms,24 Mbps,3140 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,241 ms,2 Mbps,294 kB/s
152.70.49.180,443,2a0b:21c0:1007:1c9:0:9b61:9c23:e77a,DE,Frankfurt,隧道,102 ms,154 Mbps,19763 kB/s
150.230.62.103,443,2603:c023:8:c6ee:e0a7:ed47:4a61:5473,JP,Osaka,隧道,215 ms,66 Mbps,8461 kB/s
132.226.31.178,443,2a09:bac1:76c0:e18::26a:18,US,Los Angeles,隧道,101 ms,47 Mbps,6123 kB/s
8.218.73.41,443,8.218.73.41,HK,Hong Kong,中转,232 ms,96 Mbps,12390 kB/s
141.148.220.141,443,2a09:bac1:36e0:18::1c5:93,IN,Mumbai,隧道,193 ms,40 Mbps,5184 kB/s
129.154.204.223,443,2607:a400:a:16b:0:e795:26b6:b073,US,Los Angeles,隧道,221 ms,77 Mbps,9940 kB/s
144.24.65.251,443,144.24.65.251,KR,Seoul,中转,219 ms,42 Mbps,5501 kB/s
