中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,14 ms,69 Mbps,8945 kB/s
35.197.23.75,443,35.212.183.118,US,Seattle,隧道,87 ms,322 Mbps,41267 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,75 ms,260 Mbps,33280 kB/s
34.82.76.253,443,35.185.230.104,US,Seattle,隧道,77 ms,394 Mbps,50483 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,81 ms,392 Mbps,50278 kB/s
129.151.254.48,443,129.151.254.48,FR,Marseille,中转,107 ms,23 Mbps,2964 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,57 ms,496 Mbps,63590 kB/s
35.230.79.26,443,35.212.183.118,US,Seattle,隧道,85 ms,332 Mbps,42598 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,26 ms,84 Mbps,10752 kB/s
129.146.7.98,443,2a09:bac5:60ee:183c::26a:6a,US,Los Angeles,隧道,81 ms,58 Mbps,7493 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,32 ms,632 Mbps,80998 kB/s
129.80.237.223,443,129.80.237.223,US,Ashburn,中转,11 ms,632 Mbps,80896 kB/s
47.90.141.204,443,91.149.239.145,US,Los Angeles,隧道,12 ms,6 Mbps,893 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,101 ms,216 Mbps,27648 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,82 ms,263 Mbps,33689 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,95 ms,218 Mbps,27955 kB/s
192.9.146.103,443,192.9.146.103,US,San Jose,中转,69 ms,339 Mbps,43417 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,88 ms,45 Mbps,5886 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,97 ms,308 Mbps,39424 kB/s
130.61.124.127,443,130.61.124.127,DE,Frankfurt,中转,99 ms,44 Mbps,5673 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,68 ms,376 Mbps,48128 kB/s
144.24.200.164,443,144.24.200.164,FR,Marseille,中转,102 ms,47 Mbps,6023 kB/s
141.144.253.109,443,141.144.253.109,DE,Frankfurt,中转,101 ms,50 Mbps,6472 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,98 ms,225 Mbps,28876 kB/s
130.61.201.195,443,130.61.201.195,DE,Frankfurt,中转,99 ms,48 Mbps,6156 kB/s
144.24.167.37,443,2a0b:21c0:1007:1cb:0:410b:d323:318f,DE,Frankfurt,隧道,96 ms,248 Mbps,31846 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,76 ms,222 Mbps,28467 kB/s
129.146.16.219,443,129.146.16.219,US,Los Angeles,中转,74 ms,49 Mbps,6274 kB/s
129.159.202.83,443,129.159.202.83,DE,Frankfurt,中转,102 ms,334 Mbps,42803 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,89 ms,48 Mbps,6199 kB/s
129.151.204.91,443,129.151.204.91,SE,Stockholm,中转,112 ms,104 Mbps,13312 kB/s
192.18.130.65,443,192.18.130.65,US,San Jose,中转,66 ms,346 Mbps,44339 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,97 ms,47 Mbps,6040 kB/s
168.138.149.17,443,168.138.149.17,BR,São Paulo,中转,128 ms,154 Mbps,19763 kB/s
144.21.35.132,443,2a0b:21c0:100a:1b4:0:832a:1d44:1a60,DE,Frankfurt,隧道,104 ms,108 Mbps,13926 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,97 ms,43 Mbps,5552 kB/s
192.18.134.231,443,192.18.134.231,US,San Jose,中转,72 ms,270 Mbps,34611 kB/s
150.230.20.4,443,150.230.20.4,NL,Amsterdam,中转,112 ms,38 Mbps,4916 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,178 ms,100 Mbps,12800 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,200 ms,112 Mbps,14336 kB/s
146.56.188.34,443,2607:a400:a:6c:0:c000:4ebf:afc1,US,Los Angeles,隧道,215 ms,69 Mbps,8859 kB/s
141.148.203.6,443,141.148.203.6,IN,Mumbai,中转,215 ms,84 Mbps,10752 kB/s
47.91.18.127,443,240b:4009:25a:1801:ffff:783f:74e5:c3f0,JP,Tokyo,隧道,241 ms,58 Mbps,7489 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,235 ms,6 Mbps,839 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,220 ms,37 Mbps,4786 kB/s
129.154.207.203,443,2a09:bac1:3f00::22:107,KR,Seoul,隧道,221 ms,70 Mbps,9061 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,231 ms,2 Mbps,286 kB/s
130.162.144.191,443,2a09:bac5:4731:1a14::299:1a,KR,Seoul,隧道,211 ms,33 Mbps,4339 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,229 ms,41 Mbps,5341 kB/s
192.9.177.204,443,192.9.177.204,AU,Sydney,中转,211 ms,77 Mbps,9932 kB/s
193.123.80.245,443,193.123.80.245,AE,Amsterdam,中转,193 ms,23 Mbps,2966 kB/s
158.180.82.186,443,158.180.82.186,KR,Seoul,中转,196 ms,83 Mbps,10649 kB/s
149.129.8.215,443,47.254.87.121,US,San Jose,隧道,233 ms,3 Mbps,509 kB/s
64.110.101.125,443,64.110.101.125,JP,Osaka,中转,266 ms,66 Mbps,8499 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,272 ms,31 Mbps,4038 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,239 ms,31 Mbps,4023 kB/s
131.186.33.175,443,131.186.33.175,JP,Tokyo,中转,252 ms,87 Mbps,11161 kB/s
168.138.50.249,443,168.138.50.249,JP,Osaka,中转,309 ms,32 Mbps,4180 kB/s
129.151.148.35,443,129.151.148.35,AE,Amsterdam,中转,206 ms,2 Mbps,344 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,213 ms,8 Mbps,1136 kB/s
150.230.44.13,443,150.230.44.13,US,San Jose,中转,1133 ms,293 Mbps,37580 kB/s
47.57.13.107,443,8.212.11.54,HK,Hong Kong,隧道,226 ms,0 Mbps,10 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,308 ms,0 Mbps,10 kB/s
47.57.233.126,443,47.89.252.205,US,San Jose,隧道,208 ms,0 Mbps,42 kB/s
