中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度,峰值速度数值
35.202.158.120,443.0,35.202.158.120,US,Chicago,中转,15 ms,856 Mbps,109568 kB/s,109568.0
3.144.191.4,443.0,3.144.191.4,US,Chicago,中转,19 ms,796 Mbps,101888 kB/s,101888.0
18.216.55.100,443.0,18.216.55.100,US,Toronto,中转,23 ms,474 Mbps,60723 kB/s,60723.0
165.1.74.145,443.0,165.1.74.145,US,San Jose,中转,52 ms,448 Mbps,57446 kB/s,57446.0
35.197.23.75,443.0,34.169.47.4,US,Seattle,隧道,51 ms,441 Mbps,56524 kB/s,56524.0
35.230.79.26,443.0,34.169.47.4,US,Seattle,隧道,56 ms,440 Mbps,56320 kB/s,56320.0
140.84.179.114,443.0,140.84.179.114,MX,Dallas,中转,53 ms,429 Mbps,54988 kB/s,54988.0
23.94.43.51,443.0,23.94.43.51,US,Seattle,中转,152 ms,428 Mbps,54886 kB/s,54886.0
43.153.103.203,443.0,43.153.103.203,US,San Jose,中转,54 ms,428 Mbps,54886 kB/s,54886.0
43.153.80.208,443.0,43.153.80.208,US,San Jose,中转,53 ms,422 Mbps,54067 kB/s,54067.0
150.136.240.243,443.0,150.136.240.243,US,Ashburn,中转,19 ms,420 Mbps,53760 kB/s,53760.0
192.18.140.32,443.0,2603:c024:c001:187e:bf78:be6d:4:259b,,colo.txt:San Jose,隧道,0 ms,417 Mbps,53452 kB/s,53452.0
192.9.138.241,443.0,192.9.138.241,US,San Jose,中转,52 ms,411 Mbps,52633 kB/s,52633.0
192.9.138.241,443.0,192.9.138.241,US,San Jose,中转,52 ms,410 Mbps,52531 kB/s,52531.0
152.70.117.174,443.0,152.70.117.174,US,San Jose,中转,52 ms,405 Mbps,51916 kB/s,51916.0
138.2.225.254,443.0,138.2.225.254,US,San Jose,中转,145 ms,391 Mbps,50073 kB/s,50073.0
184.169.181.217,443.0,184.169.181.217,US,San Jose,中转,61 ms,374 Mbps,47923 kB/s,47923.0
198.23.254.51,443.0,198.23.254.51,US,San Jose,中转,49 ms,354 Mbps,45363 kB/s,45363.0
129.146.209.97,443.0,129.146.209.97,US,Los Angeles,中转,96 ms,349 Mbps,44748 kB/s,44748.0
152.70.155.147,443.0,152.70.155.147,US,Los Angeles,中转,67 ms,254 Mbps,32563 kB/s,32563.0
23.94.217.204,443.0,23.94.217.204,NL,Amsterdam,中转,101 ms,204 Mbps,26112 kB/s,26112.0
152.70.52.215,443.0,152.70.52.215,NL,Amsterdam,中转,100 ms,197 Mbps,25292 kB/s,25292.0
158.101.218.105,443.0,2a0b:21c0:100a:1b3:0:fa7c:8dc9:132c,DE,Frankfurt,隧道,109 ms,189 Mbps,24268 kB/s,24268.0
141.148.227.19,443.0,141.148.227.19,NL,Amsterdam,中转,101 ms,187 Mbps,23961 kB/s,23961.0
158.101.209.76,443.0,158.101.209.76,NL,Amsterdam,中转,102 ms,186 Mbps,23859 kB/s,23859.0
43.131.49.250,443.0,43.131.49.250,DE,Amsterdam,中转,109 ms,185 Mbps,23756 kB/s,23756.0
18.184.55.249,443.0,18.184.55.249,DE,Frankfurt,中转,111 ms,180 Mbps,23142 kB/s,23142.0
141.148.228.154,443.0,2606:f240:f00:6acf:0:cb6:73ae:6ec7,US,Frankfurt,隧道,108 ms,178 Mbps,22835 kB/s,22835.0
138.2.129.226,443.0,2606:f240:f00:83a7:0:b23e:ba6f:f513,US,Frankfurt,隧道,110 ms,176 Mbps,22630 kB/s,22630.0
18.197.218.69,443.0,18.197.218.69,DE,Frankfurt,中转,109 ms,168 Mbps,21504 kB/s,21504.0
141.144.197.111,443.0,141.144.197.111,NL,Amsterdam,中转,108 ms,167 Mbps,21401 kB/s,21401.0
138.3.254.39,443.0,138.3.254.39,,colo.txt:Frankfurt,中转,0 ms,164 Mbps,21094 kB/s,21094.0
152.70.51.161,443.0,2a0b:21c0:1007:1c8:0:94d0:705a:a8eb,DE,Frankfurt,隧道,108 ms,163 Mbps,20889 kB/s,20889.0
143.47.191.146,443.0,98.98.166.170,US,Frankfurt,隧道,156 ms,162 Mbps,20787 kB/s,20787.0
3.67.25.193,443.0,18.197.218.69,DE,Frankfurt,隧道,111 ms,160 Mbps,20582 kB/s,20582.0
150.230.121.50,443.0,2a0b:21c0:100a:1b4:0:4d5a:65ab:a4ec,DE,Frankfurt,隧道,109 ms,160 Mbps,20480 kB/s,20480.0
150.230.34.116,443.0,150.230.34.116,US,San Jose,中转,152 ms,154 Mbps,19763 kB/s,19763.0
130.162.169.138,443.0,2a0b:21c0:1007:1cb:0:8ce3:86f3:2e6a,DE,Frankfurt,隧道,109 ms,132 Mbps,16998 kB/s,16998.0
144.24.186.108,443.0,2606:f240:f00:5a42:0:2c54:242d:daa6,US,Frankfurt,隧道,109 ms,125 Mbps,16076 kB/s,16076.0
144.22.252.124,443.0,144.22.252.124,BR,São Paulo,中转,221 ms,123 Mbps,15769 kB/s,15769.0
3.112.21.102,443.0,3.112.21.102,JP,Tokyo,中转,145 ms,116 Mbps,14950 kB/s,14950.0
141.147.26.50,443.0,23.236.112.222,DE,Frankfurt,隧道,145 ms,113 Mbps,14540 kB/s,14540.0
150.230.122.76,443.0,150.230.122.76,GB,London,中转,198 ms,104 Mbps,13312 kB/s,13312.0
141.147.70.41,443.0,98.98.156.34,DE,Frankfurt,隧道,109 ms,101 Mbps,13004 kB/s,13004.0
141.144.192.65,443.0,2a0b:21c0:100a:1b6:0:d76:63f1:e9a8,DE,Frankfurt,隧道,185 ms,99 Mbps,12697 kB/s,12697.0
158.180.89.73,443.0,2603:c024:e:6666::8888,KR,Seoul,隧道,168 ms,98 Mbps,12595 kB/s,12595.0
129.154.50.220,443.0,129.154.50.220,KR,Seoul,中转,167 ms,97 Mbps,12492 kB/s,12492.0
144.24.83.39,443.0,144.24.83.39,KR,Seoul,中转,167 ms,97 Mbps,12492 kB/s,12492.0
129.154.60.48,443.0,129.154.60.48,KR,Seoul,中转,218 ms,96 Mbps,12390 kB/s,12390.0
129.154.50.159,443.0,129.154.50.159,KR,Seoul,中转,210 ms,94 Mbps,12083 kB/s,12083.0
144.21.51.83,443.0,2a0b:21c0:100a:1fa:0:ab4a:4b9b:92e8,DE,Frankfurt,隧道,134 ms,93 Mbps,11980 kB/s,11980.0
35.201.203.106,443.0,35.201.203.106,TW,Taipei,中转,183 ms,92 Mbps,11878 kB/s,11878.0
138.3.247.62,443.0,2a0b:21c0:100a:1b0:0:4e00:40ef:2096,DE,Frankfurt,隧道,151 ms,92 Mbps,11878 kB/s,11878.0
129.151.204.91,443.0,129.151.204.91,SE,Stockholm,中转,110 ms,92 Mbps,11776 kB/s,11776.0
193.122.101.195,443.0,193.122.101.195,KR,Seoul,中转,197 ms,85 Mbps,10956 kB/s,10956.0
138.2.123.70,443.0,138.2.123.70,KR,Seoul,中转,174 ms,85 Mbps,10956 kB/s,10956.0
192.9.177.204,443.0,192.9.177.204,AU,Sydney,中转,189 ms,84 Mbps,10752 kB/s,10752.0
138.2.105.213,443.0,138.2.105.213,SG,Singapore,中转,209 ms,83 Mbps,10649 kB/s,10649.0
140.238.28.86,443.0,140.238.28.86,KR,Seoul,中转,193 ms,82 Mbps,10547 kB/s,10547.0
141.148.203.6,443.0,141.148.203.6,IN,Mumbai,中转,203 ms,80 Mbps,10240 kB/s,10240.0
146.56.43.53,443.0,146.56.43.53,KR,Seoul,中转,190 ms,79 Mbps,10137 kB/s,10137.0
129.146.7.98,443.0,2a09:bac5:60eb:1173::1bd:ed,US,Los Angeles,隧道,52 ms,74 Mbps,9555 kB/s,9555.0
129.154.207.203,443.0,2a09:bac1:3f00:90::22:105,KR,Seoul,隧道,199 ms,73 Mbps,9349 kB/s,9349.0
146.56.179.91,443.0,146.56.179.91,KR,Seoul,中转,193 ms,70 Mbps,9081 kB/s,9081.0
146.56.41.215,443.0,146.56.41.215,KR,Seoul,中转,194 ms,69 Mbps,8944 kB/s,8944.0
168.138.184.172,443.0,168.138.184.172,SG,Singapore,中转,344 ms,67 Mbps,8602 kB/s,8602.0
146.56.162.25,443.0,146.56.162.25,KR,Seoul,中转,197 ms,66 Mbps,8565 kB/s,8565.0
138.2.66.92,443.0,138.2.66.92,SG,Singapore,中转,333 ms,65 Mbps,8404 kB/s,8404.0
144.24.78.162,443.0,144.24.78.162,KR,Seoul,中转,167 ms,62 Mbps,7937 kB/s,7937.0
158.101.142.100,443.0,2a09:bac5:442e:dc::16:22a,JP,Tokyo,隧道,270 ms,61 Mbps,7820 kB/s,7820.0
138.2.56.246,443.0,138.2.56.246,JP,Osaka,中转,199 ms,60 Mbps,7681 kB/s,7681.0
141.147.161.58,443.0,141.147.161.58,JP,Tokyo,中转,256 ms,59 Mbps,7667 kB/s,7667.0
168.138.194.74,443.0,168.138.194.74,JP,Tokyo,中转,259 ms,58 Mbps,7545 kB/s,7545.0
141.147.184.160,443.0,141.147.184.160,JP,Tokyo,中转,258 ms,58 Mbps,7538 kB/s,7538.0
129.150.50.63,443.0,129.150.50.63,SG,Singapore,中转,214 ms,57 Mbps,7332 kB/s,7332.0
131.186.33.175,443.0,131.186.33.175,JP,Tokyo,中转,245 ms,56 Mbps,7256 kB/s,7256.0
152.70.97.78,443.0,152.70.97.78,JP,Tokyo,中转,262 ms,56 Mbps,7175 kB/s,7175.0
158.101.24.17,443.0,158.101.24.17,US,Los Angeles,中转,89 ms,52 Mbps,6746 kB/s,6746.0
140.83.36.222,443.0,2602:ffe4:407:20da:0:cd24:d3c7:2428,SG,Singapore,隧道,252 ms,50 Mbps,6526 kB/s,6526.0
129.159.34.122,443.0,129.159.34.122,US,San Jose,中转,1084 ms,50 Mbps,6502 kB/s,6502.0
140.83.36.122,443.0,140.83.36.122,JP,Tokyo,中转,260 ms,49 Mbps,6338 kB/s,6338.0
141.148.229.106,443.0,141.148.229.106,NL,Amsterdam,中转,105 ms,49 Mbps,6320 kB/s,6320.0
8.219.80.184,443.0,8.219.80.184,SG,Singapore,中转,243 ms,49 Mbps,6306 kB/s,6306.0
140.238.60.225,443.0,140.238.60.225,JP,Tokyo,中转,336 ms,49 Mbps,6282 kB/s,6282.0
152.70.245.203,443.0,2602:ffe4:407:21d9:0:5bbd:e4c8:6f14,SG,Singapore,隧道,255 ms,48 Mbps,6265 kB/s,6265.0
141.147.163.68,443.0,141.147.163.68,JP,Tokyo,中转,341 ms,48 Mbps,6240 kB/s,6240.0
84.235.169.234,443.0,84.235.169.234,NL,Amsterdam,中转,101 ms,47 Mbps,6139 kB/s,6139.0
152.70.57.182,443.0,152.70.57.182,NL,Amsterdam,中转,101 ms,47 Mbps,6089 kB/s,6089.0
132.226.31.178,443.0,2a09:bac5:60eb:1173::1bd:10b,US,Los Angeles,隧道,65 ms,46 Mbps,5933 kB/s,5933.0
152.70.239.14,443.0,2602:ffe4:407:20d9:0:dc5a:8be5:a90b,SG,Singapore,隧道,264 ms,45 Mbps,5877 kB/s,5877.0
155.248.196.123,443.0,155.248.196.123,US,Vancouver,中转,52 ms,45 Mbps,5858 kB/s,5858.0
132.226.114.74,443.0,132.226.114.74,US,Los Angeles,中转,76 ms,45 Mbps,5834 kB/s,5834.0
158.180.65.145,443.0,2603:c024:e:6666::6666,KR,Seoul,隧道,167 ms,43 Mbps,5610 kB/s,5610.0
130.162.228.90,443.0,130.162.228.90,DE,Frankfurt,中转,115 ms,43 Mbps,5566 kB/s,5566.0
131.186.57.111,443.0,131.186.57.111,JP,Tokyo,中转,328 ms,43 Mbps,5565 kB/s,5565.0
140.238.212.95,443.0,140.238.212.95,CH,Milan,中转,114 ms,43 Mbps,5558 kB/s,5558.0
141.145.217.226,443.0,141.145.217.226,FR,Paris,中转,97 ms,41 Mbps,5373 kB/s,5373.0
158.101.148.105,443.0,158.101.148.105,JP,Tokyo,中转,260 ms,41 Mbps,5334 kB/s,5334.0
