中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
193.123.34.7,443,2a0b:21c0:100a:1b2:0:4445:30ae:928e,DE,Frankfurt,隧道,108 ms,129 Mbps,16588 kB/s
138.3.254.39,443,138.3.254.39,DE,Frankfurt,中转,101 ms,208 Mbps,26624 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,23 ms,287 Mbps,36761 kB/s
35.197.23.75,443,34.82.236.30,US,Seattle,隧道,72 ms,338 Mbps,43315 kB/s
129.146.7.98,443,2a09:bac5:60ea:1846::26b:52,US,Los Angeles,隧道,74 ms,73 Mbps,9448 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,82 ms,446 Mbps,57139 kB/s
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,US,Los Angeles,隧道,87 ms,35 Mbps,4525 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,89 ms,235 Mbps,30105 kB/s
35.230.79.26,443,34.82.236.30,US,Seattle,隧道,72 ms,348 Mbps,44646 kB/s
34.82.76.253,443,34.82.87.23,US,Seattle,隧道,75 ms,312 Mbps,40038 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,45 ms,604 Mbps,77312 kB/s
150.230.112.222,443,2a0b:21c0:100a:1f9:0:d7a9:7aa1:6a8,DE,Frankfurt,隧道,105 ms,188 Mbps,24166 kB/s
130.162.228.90,443,130.162.228.90,DE,Frankfurt,中转,108 ms,43 Mbps,5545 kB/s
129.146.46.164,443,129.146.46.164,278 Mbps,35635 kB/s
130.61.39.13,443,2603:c020:801c:9969:5536:e049:b1aa:bdf2,DE,Frankfurt,隧道,93 ms,194 Mbps,24883 kB/s
3.144.191.4,443,3.144.191.4,US,Chicago,中转,36 ms,698 Mbps,89395 kB/s
141.144.197.111,443,141.144.197.111,NL,Amsterdam,中转,87 ms,239 Mbps,30617 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,80 ms,275 Mbps,35225 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,99 ms,204 Mbps,26214 kB/s
141.148.229.106,443,141.148.229.106,NL,Amsterdam,中转,103 ms,48 Mbps,6173 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,123 ms,230 Mbps,29491 kB/s
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,10 ms,176 Mbps,22528 kB/s
158.101.220.67,443,2a0b:21c0:100a:1b2:0:33a8:c4c4:8247,DE,Frankfurt,隧道,114 ms,226 Mbps,28979 kB/s
