中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
3.144.191.4,443,3.144.191.4,US,Chicago,中转,17 ms,706 Mbps,90419 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,18 ms,70 Mbps,9031 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,17 ms,1200 Mbps,153600 kB/s
35.197.23.75,443,35.212.201.120,US,Seattle,隧道,52 ms,484 Mbps,62054 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,52 ms,428 Mbps,54886 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,31 ms,635 Mbps,81305 kB/s
47.253.152.99,443,47.253.152.99,US,Ashburn,中转,30 ms,21 Mbps,2691 kB/s
150.230.42.80,443,104.28.201.73,US,San Jose,隧道,49 ms,473 Mbps,60620 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,53 ms,489 Mbps,62668 kB/s
34.82.76.253,443,34.127.99.199,US,Seattle,隧道,63 ms,504 Mbps,64614 kB/s
35.230.79.26,443,35.212.201.120,US,Seattle,隧道,60 ms,417 Mbps,53452 kB/s
168.138.90.241,443,168.138.90.241,CA,Toronto,中转,44 ms,53 Mbps,6825 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,69 ms,544 Mbps,69734 kB/s
129.146.7.98,443,2a09:bac5:60ea:183c::26a:d,US,Los Angeles,隧道,74 ms,75 Mbps,9655 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,71 ms,5 Mbps,763 kB/s
129.151.204.91,443,129.151.204.91,SE,Stockholm,中转,117 ms,124 Mbps,15872 kB/s
47.253.192.14,443,47.253.192.14,US,Ashburn,中转,19 ms,34 Mbps,4386 kB/s
168.138.149.17,443,168.138.149.17,BR,São Paulo,中转,166 ms,146 Mbps,18739 kB/s
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,25 ms,65 Mbps,8444 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,118 ms,193 Mbps,24780 kB/s
47.88.15.127,443,47.88.15.127,US,San Jose,中转,103 ms,132 Mbps,16998 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,111 ms,202 Mbps,25907 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,112 ms,390 Mbps,49971 kB/s
150.136.87.192,443,150.136.87.192,US,Ashburn,中转,23 ms,80 Mbps,10342 kB/s
47.254.65.110,443,47.254.65.110,US,San Jose,中转,64 ms,2 Mbps,297 kB/s
47.89.244.253,443,47.89.244.253,US,San Jose,中转,57 ms,10 Mbps,1311 kB/s
130.61.23.77,443,130.61.23.77,DE,Frankfurt,中转,133 ms,180 Mbps,23040 kB/s
129.154.207.203,443,2a09:bac1:3f00:90::22:13c,KR,Seoul,隧道,196 ms,81 Mbps,10444 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,75 ms,341 Mbps,43724 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,112 ms,252 Mbps,32358 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,214 ms,42 Mbps,5399 kB/s
129.146.117.117,443,129.146.117.117,US,Los Angeles,中转,79 ms,510 Mbps,65331 kB/s
129.151.254.48,443,129.151.254.48,FR,Marseille,中转,123 ms,26 Mbps,3387 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,197 ms,126 Mbps,16179 kB/s
150.230.63.93,443,150.230.63.93,JP,Osaka,中转,243 ms,36 Mbps,4698 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,95 ms,290 Mbps,37171 kB/s
141.144.199.182,443,2a0b:21c0:100a:1fa:0:5580:63:4f23,DE,Frankfurt,隧道,133 ms,216 Mbps,27648 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,141 ms,215 Mbps,27545 kB/s
152.67.96.55,443,152.67.96.55,AU,Sydney,中转,195 ms,41 Mbps,5282 kB/s
130.61.201.195,443,130.61.201.195,DE,Frankfurt,中转,133 ms,48 Mbps,6240 kB/s
8.219.201.207,443,8.219.142.198,SG,Singapore,隧道,218 ms,50 Mbps,6439 kB/s
138.2.141.3,443,2606:f240:f00:2be4:0:aed0:c76a:4d34,US,Frankfurt,隧道,144 ms,183 Mbps,23449 kB/s
158.101.210.198,443,2a0b:21c0:1007:1cb:0:21ec:e348:76c2,DE,Frankfurt,隧道,127 ms,190 Mbps,24371 kB/s
129.159.241.239,443,2606:f240:f00:46c4:0:e836:4c94:6f34,US,Frankfurt,隧道,148 ms,207 Mbps,26521 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,232 ms,38 Mbps,4918 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,174 ms,146 Mbps,18739 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,132 ms,47 Mbps,6018 kB/s
