中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
18.216.55.100,443,18.216.55.100,US,Columbus,中转,10 ms,364 Mbps,46592 kB/s
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,15 ms,16 Mbps,2089 kB/s
129.213.202.222,443,129.213.202.222,US,Ashburn,中转,16 ms,1200 Mbps,153600 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,58 ms,448 Mbps,57446 kB/s
129.213.130.70,443,129.213.130.70,US,Ashburn,中转,24 ms,1040 Mbps,133120 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,50 ms,436 Mbps,55910 kB/s
34.82.76.253,443,34.127.97.83,US,Seattle,隧道,49 ms,428 Mbps,54784 kB/s
35.230.79.26,443,35.212.170.84,US,Seattle,隧道,51 ms,474 Mbps,60723 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,59 ms,327 Mbps,41881 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,46 ms,324 Mbps,41472 kB/s
35.197.23.75,443,35.212.170.84,US,Seattle,隧道,49 ms,472 Mbps,60518 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,104 ms,184 Mbps,23654 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,161 ms,19 Mbps,2492 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,188 ms,38 Mbps,4984 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,108 ms,50 Mbps,6450 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,117 ms,203 Mbps,26009 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,114 ms,49 Mbps,6383 kB/s
143.47.252.60,443,2a0b:21c0:1007:c7:0:a7c2:89bf:1f13,DE,Frankfurt,隧道,123 ms,127 Mbps,16281 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,151 ms,137 Mbps,17612 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,129 ms,222 Mbps,28467 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,161 ms,157 Mbps,20172 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,156 ms,42 Mbps,5432 kB/s
158.180.82.186,443,2603:c024:13:6c00::4,KR,Seoul,隧道,165 ms,99 Mbps,12697 kB/s
130.162.129.97,443,130.162.140.114,KR,Seoul,隧道,176 ms,96 Mbps,12390 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,194 ms,37 Mbps,4797 kB/s
168.138.13.201,443,168.138.13.201,AU,Melbourne,中转,203 ms,36 Mbps,4616 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,224 ms,31 Mbps,4074 kB/s
158.180.73.138,443,2602:ffe4:407:20da:0:9aca:acc0:c40f,SG,Singapore,隧道,233 ms,67 Mbps,8686 kB/s
64.110.75.145,443,64.110.75.145,KR,Seoul,中转,188 ms,92 Mbps,11776 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,144 ms,0 Mbps,47 kB/s
131.186.33.175,443,131.186.33.175,JP,Tokyo,中转,149 ms,2 Mbps,256 kB/s
149.129.8.215,443,47.88.8.186,US,San Jose,隧道,197 ms,3 Mbps,437 kB/s
