中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度,峰值速度数值
129.213.202.222,443,129.213.202.222,US,Ashburn,中转,19 ms,1656 Mbps,211968 kB/s,211968.0
129.213.130.70,443,129.213.130.70,US,Ashburn,中转,2 ms,1224 Mbps,156672 kB/s,156672.0
18.216.55.100,443,18.216.55.100,US,Columbus,中转,28 ms,840 Mbps,107520 kB/s,107520.0
43.153.103.203,443,43.153.103.203,US,San Jose,中转,80 ms,450 Mbps,57651 kB/s,57651.0
43.153.80.208,443,43.153.80.208,US,San Jose,中转,71 ms,358 Mbps,45875 kB/s,45875.0
34.82.76.253,443,34.19.99.159,US,Seattle,隧道,76 ms,357 Mbps,45772 kB/s,45772.0
35.230.79.26,443,35.212.133.201,US,Seattle,隧道,70 ms,343 Mbps,43929 kB/s,43929.0
129.159.202.83,443,129.159.202.83,DE,Frankfurt,中转,89 ms,328 Mbps,41984 kB/s,41984.0
192.9.139.160,443,192.9.139.160,US,San Jose,中转,81 ms,314 Mbps,40243 kB/s,40243.0
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,103 ms,303 Mbps,38809 kB/s,38809.0
23.94.43.51,443,23.94.43.51,US,Seattle,中转,75 ms,288 Mbps,36864 kB/s,36864.0
184.169.181.217,443,184.169.181.217,US,San Jose,中转,77 ms,277 Mbps,35532 kB/s,35532.0
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,98 ms,255 Mbps,32665 kB/s,32665.0
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,96 ms,251 Mbps,32153 kB/s,32153.0
35.197.23.75,443,35.212.133.201,US,Seattle,隧道,77 ms,245 Mbps,31436 kB/s,31436.0
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,100 ms,225 Mbps,28876 kB/s,28876.0
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,76 ms,214 Mbps,27443 kB/s,27443.0
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,168 ms,121 Mbps,15564 kB/s,15564.0
64.110.101.125,443,64.110.101.125,JP,Osaka,中转,183 ms,116 Mbps,14848 kB/s,14848.0
141.148.203.6,443,141.148.203.6,IN,Mumbai,中转,192 ms,92 Mbps,11878 kB/s,11878.0
158.180.82.186,443,2603:c024:13:6c00::4,KR,Seoul,隧道,206 ms,88 Mbps,11366 kB/s,11366.0
129.146.7.98,443,2a09:bac5:60ea:1173::1bd:9d,US,Los Angeles,隧道,62 ms,75 Mbps,9682 kB/s,9682.0
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,2 ms,64 Mbps,8197 kB/s,8197.0
129.146.221.78,443,2603:c020:1:6eee:6a58:4a78:d792:985e,US,Los Angeles,隧道,61 ms,50 Mbps,6402 kB/s,6402.0
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,102 ms,48 Mbps,6260 kB/s,6260.0
130.61.124.127,443,130.61.124.127,DE,Frankfurt,中转,101 ms,47 Mbps,6119 kB/s,6119.0
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,95 ms,46 Mbps,5896 kB/s,5896.0
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,93 ms,45 Mbps,5805 kB/s,5805.0
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,98 ms,44 Mbps,5752 kB/s,5752.0
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,194 ms,43 Mbps,5518 kB/s,5518.0
150.230.20.4,443,150.230.20.4,NL,Amsterdam,中转,93 ms,41 Mbps,5330 kB/s,5330.0
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,200 ms,41 Mbps,5312 kB/s,5312.0
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,224 ms,38 Mbps,4955 kB/s,4955.0
130.162.144.191,443,2a09:bac5:4730:155::22:11b,KR,Seoul,隧道,207 ms,37 Mbps,4749 kB/s,4749.0
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,176 ms,36 Mbps,4662 kB/s,4662.0
193.123.80.245,443,193.123.80.245,AE,Frankfurt,中转,189 ms,36 Mbps,4646 kB/s,4646.0
152.70.71.23,443,152.70.71.23,IN,Marseille,中转,214 ms,34 Mbps,4403 kB/s,4403.0
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,257 ms,30 Mbps,3841 kB/s,3841.0
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,8 ms,8 Mbps,1040 kB/s,1040.0
131.186.33.175,443,131.186.33.175,JP,Tokyo,中转,175 ms,3 Mbps,461 kB/s,461.0
149.129.8.215,443,47.88.55.210,US,San Jose,隧道,224 ms,3 Mbps,448 kB/s,448.0
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,234 ms,2 Mbps,274 kB/s,274.0
168.138.13.201,443,168.138.13.201,AU,Melbourne,中转,230 ms,1 Mbps,240 kB/s,240.0
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,214 ms,0 Mbps,50 kB/s,50.0
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,219 ms,0 Mbps,18 kB/s,18.0
47.57.233.126,443,47.88.10.133,US,San Jose,隧道,213 ms,0 Mbps,11 kB/s,11.0
